ProteinAccession__GenomeAcc	GenomeAcc_ScientificName	TaxonomyID	ScientificName	Lineage	GenomeAccession	Genus	Species	GenomeAcc_Lineage	ProteinAccession	RepresentativeSequence	ClusterSequences
ATD86766__KY922726.1	KY922726.1_Human alphaherpesvirus 2	10310	Human alphaherpesvirus 2	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus	KY922726.1	Simplexvirus	Simplexvirus	KY922726.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus	ATD86766	KY922726.1	ATD86766,ATD86689,ADM52140,ADM52126,API61853,P89453,P07918,ATW63789,ATD86612,ATD86534,ATD86457,ATD86380,ATD86303,ATB17573,ATB17497,ATB17421,ATB17345,AQZ58987,AQZ58916,AQZ58774,AQZ58632,AQZ57993,AQZ57709,AQZ57496,AQZ56431,AQZ59129,AQZ59058,AQZ58845,AQZ58703,AQZ58490,AQZ58419,AQZ58348,AQZ58277,AQZ58206,AQZ58135,AQZ58064,AQZ57922,AQZ57851,AQZ57780,AQZ57638,AQZ57567,AQZ57425,AQZ57354,AQZ57283,AQZ57212,AQZ57141,AQZ57070,AQZ56999,AQZ56928,AQZ56857,AQZ56786,AQZ56715,AQZ56644,AQZ56573,AQZ56502,AQZ56360,AQZ56289,AQZ56218,AQZ56147,AQZ56076,AQZ56005,AQZ55934,AQZ55863,AQZ55792,AQZ55721,API61849,AOW71602,AMB66354,AMB65994,YP_009137182,AEV91369,AAK72381,AAK72380,AIL27707,AIL27706,AIL27705,AIL27703,AIL27702,AIL27701,AIL27700,AKC59556,AKC59485,AKC59414,AKC59343,AKC59271,AKC42794,AHG54694,YP_009011017,AFV26919,AGI44412,AFM93852,AFI98983,AFI98982,AFI98981,AFI98980,AFI98979,AFI98978,AFI98977,AFI98976,AFI98975,AFI98974,AFI98973,AFI98972,AFI98971,AFI98970,AFI98969,ADM52180,ADM52179,ADM52178,ADM52177,ADM52176,ADM52175,ADM52172,ADM52171,ADM52170,ADM52169,ADM52168,ADM52167,ADM52147,ADM52146,ADM52144,ADM52142,ADM52141,ADM52139,ADM52138,ADM52136,ADM52135,ADM52134,ADM52133,ADM52132,ADM52131,ADM52130,ADM52129,ADM52128,ADM52124,ADM52123,AAA45853,CAB06755,1307185A,AOV80802,API61867,AQX17821,AQX17819,AQX17818,AIL27698,AIL27696,AIL27694,AIL27693,AIL27692,AIL28080,AGI44414,AGI44413,AGI44411,ADM52173,ADM52137,ADM52145,AQX17820,AIL27704,AIL27697,ADM52174,ADM52127,ADM52125,P09854,P04292,P07917,P04293,ATD84793,ATD84716,ASM47857,ARB08921,AJE60404,AJE60331,AJE60261,AJE60188,AJE60117,AJE60046,AJE59975,BAM73380,ACM62253,AOY36649,AOY34298,SBT69360,SBS69776,SBS69365,SBS69507,SBS69521,SBS69481,SBS69446,SBS69323,SBS69251,SBS69252,AMB65922,BAV53945,BAV53944,BAV53943,BAV53942,BAV53941,BAV53940,BAV53939,BAV53938,SCL76875,BAV25237,BAV25236,BAV25235,BAV25234,BAV25233,BAV25232,BAV25231,BAV25230,BAV25229,BAV25228,BAV25227,BAV25226,BAV25225,BAV25224,BAV25223,BAV25222,BAV25221,BAV25220,BAV25219,BAV25218,BAV25217,BAV25216,BAV25215,BAV25214,ANN85765,ANN85689,ANN85612,ANN85535,ANN85458,ANN85382,ANN85305,ANN85228,ANN85153,ANN85077,ANN85000,ANN84924,ANN84847,ANN84771,ANN84694,ANN84618,ANN84541,ANN84464,ANN84389,ANN84312,ANN84235,ANN84158,ANN84081,ANN84005,ANN83928,SBO07726,SBO07822,SBO07727,YP_009137105,AEQ77061,AMN09799,AER38038,ALO18703,ALO18627,ALM22821,ALM22747,ALM22673,ALM22599,AKH80503,AKH80430,AKG61960,AKG61888,AKG61814,AKG61742,AKG61670,AKG61597,AKG61523,AKG61450,AKG61378,AKG61307,AKG61234,AKG61161,AKG61090,AKG61018,AKG60945,AKG60873,AKG60803,AKG60731,AKG60660,AKG60587,AKG60514,AKG60442,AKG60372,AKG60302,AKG60229,AKG60156,AKG60085,AKG60013,AKG59939,AKG59865,AKG59793,AKG59722,AKG59649,AKG59577,AKG59502,AKG59430,AKG59358,AKG59285,AKG59213,AKE48609,AIR95826,AGZ01892,ADM23795,ADM23719,ADM23644,ADM23569,ADM23495,ADM23421,ADM23347,ADM23273,ADM23196,ADM23119,ADM23043,ADM22967,ADM22890,ADM22813,ADM22737,ADM22660,ADM22583,ADM22506,ADM22430,ADM22353,AFK50376,AFP86394,ADD60110,ADD60033,BAM29052,BAM29051,BAM29050,BAM29048,BAM29047,BAM29046,AFE62858,AFI98968,AFI98967,AFI98966,AFI98965,AFI98964,AFI98963,AFI98962,AFI98961,AFI98960,AFI98959,AFI98958,AFI98957,AFI98956,AFI98955,AFI98954,AFI98953,AFI98952,AFI98951,AFI98950,AFI98949,AFI98948,AFI98947,AFI98946,AFI98945,AFI98944,AFI98943,AFI98942,AFI98941,AFI98940,AFI98939,AFI98938,AFI98937,AFI98936,AFI98935,AFI98934,AFI98933,AFI98932,AFI98931,AFI98930,AFI98929,AFI98928,AFI98927,AFI98926,AFI98925,AFI98924,AFI98923,AFI98922,AFI98921,AFI98920,AFI98919,AFI98918,AFI98917,AFI98916,AFI98915,AFI98914,AFI98913,AFI98912,AFI98911,AFI98910,AFI98909,AFI98908,AFI98907,AFI98906,AFI98905,AFI98904,AFI98903,AFI98902,AFI98901,AFI98900,AFI98899,AFI98898,AFI98897,AFI98896,AFI98895,AFI98894,AFI98893,AFI98892,AFI98891,AFI98890,AFI98889,AFI98888,AFI98887,AFI98886,AFI98885,AFI98884,AFI23621,AER37968,AER37896,AER37824,AER37754,AER37684,AER37614,ABI63492,ADM52182,ADM52162,ADM52161,ADM52160,ADM52159,ADM52158,ADM52157,ADM52156,ADM52155,ADM52154,ADM52153,ADM52122,ADM52121,ADM52120,ADM52119,ADM52118,ADM52117,ADM52116,ADM52115,ADM52114,ADM52113,ADM52112,ADM52111,ADM52110,ADM52109,ADM52108,ADM52107,ADM52106,AAA66438,BAE19749,BAE19748,BAE19747,BAE19746,BAE19745,BAE19744,CAA32323,ACD65418,CAA26941,BAB69448,BAB64293,BAB64292,CAA28183,CAA28464,AIL28079,ADM52143,AQZ58561,AIL27695,AIL27699,2GV9B,2GV9A,SBO07663,AMB66282,AMB66210
YP_009342373__LT608135	LT608135_Spheniscid herpesvirus 2	1890678	Spheniscid herpesvirus 2	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Mardivirus;unclassified Mardivirus	LT608135	Mardivirus	unclassified Mardivirus	LT608135_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Mardivirus;unclassified Mardivirus	YP_009342373	LT608135	YP_009342373,SCO83542,SCL76940
AFM85234__JN692429.1	JN692429.1_Myotis ricketti herpesvirus 1	1200670	Myotis ricketti herpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	JN692429.1	unclassified Gammaherpesvirinae	unclassified Gammaherpesvirinae	JN692429.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	AFM85234	JN692429.1	AFM85234
AAO12315__AY170316.1	AY170316.1_Porcine lymphotropic herpesvirus 3	199308	Porcine lymphotropic herpesvirus 3	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Macavirus;Suid gammaherpesvirus 5	AY170316.1	Macavirus	Suid gammaherpesvirus 5	AY170316.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Macavirus;Suid gammaherpesvirus 5	AAO12315	AY170316.1	AAO12315,AAO12301,AAO46909
AFM85236__JN692430.1	JN692430.1_Myotis ricketti herpesvirus 2	1200671	Myotis ricketti herpesvirus 2	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	JN692430.1	unclassified Gammaherpesvirinae	unclassified Gammaherpesvirinae	JN692430.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	AFM85236	JN692430.1	AFM85236
AEI00235__HQ840738.1	HQ840738.1_Gallid alphaherpesvirus 3	35250	Gallid alphaherpesvirus 3	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Mardivirus	HQ840738.1	Mardivirus	Mardivirus	HQ840738.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Mardivirus	AEI00235	HQ840738.1	AEI00235
YP_009388514__KY965444	KY965444_Common bottlenose dolphin gammaherpesvirus 1 strain Sarasota	2022783	Common bottlenose dolphin gammaherpesvirus 1 strain Sarasota	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;unclassified Rhadinovirus	KY965444	Rhadinovirus	unclassified Rhadinovirus	KY965444_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;unclassified Rhadinovirus	YP_009388514	KY965444	YP_009388514,ARW78076
ABO40775__EF125059.1	EF125059.1_Microtus arvalis cytomegalovirus 1	431627	Microtus arvalis cytomegalovirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus;unclassified Cytomegalovirus	EF125059.1	Cytomegalovirus	unclassified Cytomegalovirus	EF125059.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus;unclassified Cytomegalovirus	ABO40775	EF125059.1	ABO40775
YP_009041990__KJ705001	KJ705001_Bovine gammaherpesvirus 6	1504288	Bovine gammaherpesvirus 6	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Macavirus	KJ705001	Macavirus	Macavirus	KJ705001_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Macavirus	YP_009041990	KJ705001	YP_009041990,AIB03166
YP_003933809__HM625781	HM625781_Saimiriine alphaherpesvirus 1	10353	Saimiriine alphaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus	HM625781	Simplexvirus	Simplexvirus	HM625781_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus	YP_003933809	HM625781	YP_003933809,ADO13797
YP_164473__AY714813	AY714813_Cercopithecine alphaherpesvirus 2	10317	Cercopithecine alphaherpesvirus 2	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus	AY714813	Simplexvirus	Simplexvirus	AY714813_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus	YP_164473	AY714813	YP_164473,AAU88096
ABO40777__EF125061.1	EF125061.1_Myodes glareolus cytomegalovirus 1	456831	Myodes glareolus cytomegalovirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus;unclassified Cytomegalovirus	EF125061.1	Cytomegalovirus	unclassified Cytomegalovirus	EF125061.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus;unclassified Cytomegalovirus	ABO40777	EF125061.1	ABO40777
AAD55134__AF181249.1	AF181249.1_Bovine alphaherpesvirus 2	10295	Bovine alphaherpesvirus 2	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus	AF181249.1	Simplexvirus	Simplexvirus	AF181249.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus	AAD55134	AF181249.1	AAD55134
YP_003331549__FJ478159	FJ478159_Felid alphaherpesvirus 1	10334	Felid alphaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Varicellovirus	FJ478159	Varicellovirus	Varicellovirus	FJ478159_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Varicellovirus	YP_003331549	FJ478159	YP_003331549,ALJ85884,ALJ85808,ALJ85732,ALJ85656,ALJ85580,ALJ85504,ALJ85428,ALJ85352,ALJ85276,ALJ85200,ALJ85124,ALJ85048,ALJ84972,ALJ84896,ALJ84820,ALJ84744,ALJ84668,ALJ84592,ALJ84516,ALJ84440,ALJ84364,ALJ84288,ALJ84212,ALJ84136,ALJ84060,ANG65538,ACT88328,CAA12264
ABH05841__DQ788623.2	DQ788623.2_Eptesicus serotinus rhadinovirus 1	397104	Eptesicus serotinus rhadinovirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;unclassified Rhadinovirus	DQ788623.2	Rhadinovirus	unclassified Rhadinovirus	DQ788623.2_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;unclassified Rhadinovirus	ABH05841	DQ788623.2	ABH05841
ABO40779__EF125063.1	EF125063.1_Apodemus flavicollis cytomegalovirus 2	431617	Apodemus flavicollis cytomegalovirus 2	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus;unclassified Cytomegalovirus	EF125063.1	Cytomegalovirus	unclassified Cytomegalovirus	EF125063.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus;unclassified Cytomegalovirus	ABO40779	EF125063.1	ABO40779
AAK00812__AF287948.1	AF287948.1_unidentified herpesvirus	39059	unidentified herpesvirus	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;unclassified Herpesviridae	AF287948.1	undef	unclassified Herpesviridae	AF287948.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;unclassified Herpesviridae	AAK00812	AF287948.1	AAK00812,AAP42118
ABU93815__EU006876.1	EU006876.1_lung-eye-trachea disease-associated herpesvirus	203820	lung-eye-trachea disease-associated herpesvirus	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;unassigned Alphaherpesvirinae;Chelonid alphaherpesvirus 6	EU006876.1	unassigned Alphaherpesvirinae	Chelonid alphaherpesvirus 6	EU006876.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;unassigned Alphaherpesvirinae;Chelonid alphaherpesvirus 6	ABU93815	EU006876.1	ABU93815
ABH05845__DQ788627.2	DQ788627.2_Nyctalus noctula rhadinovirus 2	397107	Nyctalus noctula rhadinovirus 2	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;unclassified Rhadinovirus	DQ788627.2	Rhadinovirus	unclassified Rhadinovirus	DQ788627.2_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;unclassified Rhadinovirus	ABH05845	DQ788627.2	ABH05845
AMB66138__KU310664.1	KU310664.1_Human alphaherpesvirus 2	10310	Human alphaherpesvirus 2	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus	KU310664.1	Simplexvirus	Simplexvirus	KU310664.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus	AMB66138	KU310664.1	AMB66138,AMB66065,AMB66427,SBO07665
ABI21851__DQ789370.2	DQ789370.2_Panthera leo gammaherpesvirus 1	397368	Panthera leo gammaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	DQ789370.2	unclassified Gammaherpesvirinae	unclassified Gammaherpesvirinae	DQ789370.2_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	ABI21851	DQ789370.2	ABI21851
ABH08757__DQ821581.1	DQ821581.1_Bandicota savilei rhadinovirus 1	398033	Bandicota savilei rhadinovirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;unclassified Rhadinovirus	DQ821581.1	Rhadinovirus	unclassified Rhadinovirus	DQ821581.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;unclassified Rhadinovirus	ABH08757	DQ821581.1	ABH08757
ABH05847__DQ788629.2	DQ788629.2_Pipistrellus nathusii rhadinovirus 1	454123	Pipistrellus nathusii rhadinovirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;unclassified Rhadinovirus	DQ788629.2	Rhadinovirus	unclassified Rhadinovirus	DQ788629.2_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;unclassified Rhadinovirus	ABH05847	DQ788629.2	ABH05847
SOU90076__LT966077.1	LT966077.1_Suid alphaherpesvirus 1	10345	Suid alphaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Varicellovirus	LT966077.1	Varicellovirus	Varicellovirus	LT966077.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Varicellovirus	SOU90076	LT966077.1	SOU90076
ABI21852__DQ789371.2	DQ789371.2_Crocuta crocuta gammaherpesvirus 1	397367	Crocuta crocuta gammaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	DQ789371.2	unclassified Gammaherpesvirinae	unclassified Gammaherpesvirinae	DQ789371.2_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	ABI21852	DQ789371.2	ABI21852
ABN49966__EF128052.1	EF128052.1_Microtus agrestis rhadinovirus 1	425189	Microtus agrestis rhadinovirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;unclassified Rhadinovirus	EF128052.1	Rhadinovirus	unclassified Rhadinovirus	EF128052.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;unclassified Rhadinovirus	ABN49966	EF128052.1	ABN49966
Q9YUS3__undef	undef_Tupaiid betaherpesvirus 1	10397	Tupaiid betaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;unassigned Betaherpesvirinae	undef	unassigned Betaherpesvirinae	unassigned Betaherpesvirinae	undef_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;unassigned Betaherpesvirinae	Q9YUS3	undef	Q9YUS3,Q9YUS2,NP_116408,AAD08667,AAD08666,AAD42936,AAK57103
AAL58191__AF236050.1	AF236050.1_California sea lion herpesvirus	107236	California sea lion herpesvirus	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	AF236050.1	unclassified Gammaherpesvirinae	unclassified Gammaherpesvirinae	AF236050.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	AAL58191	AF236050.1	AAL58191
AAB93518__U92269.1	U92269.1_Phocid alphaherpesvirus 1	47418	Phocid alphaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Varicellovirus	U92269.1	Varicellovirus	Varicellovirus	U92269.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Varicellovirus	AAB93518	U92269.1	AAB93518
AAN35123__AY138584.2	AY138584.2_Saimiri sciureus gammaherpesvirus 2	517194	Saimiri sciureus gammaherpesvirus 2	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	AY138584.2	unclassified Gammaherpesvirinae	unclassified Gammaherpesvirinae	AY138584.2_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	AAN35123	AY138584.2	AAN35123
AAN35124__AY138585.2	AY138585.2_Pan troglodytes rhadinovirus 1	135725	Pan troglodytes rhadinovirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;Human gammaherpesvirus 8	AY138585.2	Rhadinovirus	Human gammaherpesvirus 8	AY138585.2_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;Human gammaherpesvirus 8	AAN35124	AY138585.2	AAN35124
CCE57390__HE610456.1	HE610456.1_Murid betaherpesvirus 1	10366	Murid betaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Muromegalovirus	HE610456.1	Muromegalovirus	Muromegalovirus	HE610456.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Muromegalovirus	CCE57390	HE610456.1	CCE57390,ACE95404,P27172,AQQ81338,CCE57225,CCE57061,CCE56896,CCE56732,AAA45940,AAS47481,AAS47480,AAS47478,AAS47472,AAS47471,AAS47470,AAS47469,AAS47468,AAS47467,AAS47466,CAP08103,CAJ86578,CCE56566,ACE95568,AAS47485,AAS47484,AAS47483,AAS47482,AAS47479,AAS47477,AAS47476,ACE95241
ADY05320__AY139024.2	AY139024.2_Saimiri sciureus lymphocryptovirus 2	209061	Saimiri sciureus lymphocryptovirus 2	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Lymphocryptovirus;unclassified Lymphocryptovirus;lymphocryptovirus 2	AY139024.2	Lymphocryptovirus	lymphocryptovirus 2	AY139024.2_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Lymphocryptovirus;unclassified Lymphocryptovirus;lymphocryptovirus 2	ADY05320	AY139024.2	ADY05320
ATO60782__MG021317.1	MG021317.1_Human gammaherpesvirus 4	10376	Human gammaherpesvirus 4	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Lymphocryptovirus	MG021317.1	Lymphocryptovirus	Lymphocryptovirus	MG021317.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Lymphocryptovirus	ATO60782	MG021317.1	ATO60782,ATO60712,ATO60638,ATO60568,ATO60498,ATO60426,ATO60345,ATO60263,ATO60181,ATO60099,ATO60017,ATO59933,ATO59850,Q3KSP1,Q1HVC1,P03198,ASU89873,ASU89798,ASU89722,ASU89648,CEQ33812,BAX36886,BAX36839,BAX36791,BAX36745,BAX36698,BAX36652,BAX36604,ANQ44996,ANQ44927,ANQ44858,ANQ44789,BAV60103,ANI26401,ANI26320,ANI26244,ANI26163,ALV83279,ALV83209,ALV83139,ALV83072,ALV83003,ALV82935,ALV82865,ALV82798,ALS46746,BAU51602,BAU51519,BAP94447,BAP94382,AKA28864,AKA28792,AKA28718,AKA28645,AKA28571,AKA28500,AKA28432,AKA28359,AKE13321,ALQ28741,ALQ28666,ALQ28561,ALQ28484,ALQ28407,ALQ28334,CEQ36686,ALF03278,CGH12645,CEQ43500,CEQ43417,CEQ43333,CEQ38257,CEQ38174,CEQ38091,CEQ38009,CEQ37927,CEQ37844,CEQ37761,CEQ37678,CEQ37595,CEQ37513,CEQ37430,CEQ37347,CEQ37264,CEQ37181,CEQ37099,CEQ37016,CEQ36934,CEQ36851,CEQ36769,CEQ36603,CEQ36521,CEQ36439,CEQ36357,CEQ36274,CEQ36191,CEQ36108,CEQ36025,CEQ35942,CEQ35860,CEQ35777,CEQ35694,CEQ35528,CEQ35445,CEQ35374,CEQ35293,CEQ35210,CEQ35127,CEQ35044,CEQ34963,CEQ34880,CEQ34799,CEQ34718,CEQ34638,CEQ34555,CEQ34472,CEQ34390,CEQ34308,CEQ34225,CEQ34142,CEQ34059,CEQ33976,CEQ33894,CEQ33730,CEQ33647,CEQ33565,CEQ33485,CEQ33402,CEQ33321,CEQ33140,CEQ33057,CEQ32974,CEQ32892,CEQ32809,CEQ32727,CEQ32645,CEQ32564,CEQ32481,CEQ32400,CEP79231,BAQ20347,BAQ20086,BAQ20045,AIM62246,AIE89028,AIE88952,AIE88874,AIE88797,AIE88721,AIE88645,AIE88569,AIE88492,AIE89105,AFJ06900,AGZ95224,AHA36481,YP_401712,AGL80693,AFY97980,AFY97899,YP_001129507,YP_068007,ABB89286,AAY41154,AAK95475,CAD53462,CAA24805,ADY05316,ADY05325,ADY05324,ADY05318,ADY05317,ADY05315,ADY05314,ADY05313,ADY05312,AAP41946,AAQ10665,AAQ10659,AAW55917,ABV03812,AAQ10669,ACY75561,ACY75559,ACY75557
ADY05321__AY139025.2	AY139025.2_Pithecia pithecia lymphocryptovirus 1	209062	Pithecia pithecia lymphocryptovirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Lymphocryptovirus;unclassified Lymphocryptovirus;lymphocryptovirus 1	AY139025.2	Lymphocryptovirus	lymphocryptovirus 1	AY139025.2_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Lymphocryptovirus;unclassified Lymphocryptovirus;lymphocryptovirus 1	ADY05321	AY139025.2	ADY05321
ALB06101__KP721221.1	KP721221.1_Lynx rufus gammaherpesvirus 2	1706831	Lynx rufus gammaherpesvirus 2	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	KP721221.1	unclassified Gammaherpesvirinae	unclassified Gammaherpesvirinae	KP721221.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	ALB06101	KP721221.1	ALB06101
ADY05323__AY139028.2	AY139028.2_Ateles paniscus lymphocryptovirus 1	209266	Ateles paniscus lymphocryptovirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Lymphocryptovirus;unclassified Lymphocryptovirus;lymphocryptovirus 1	AY139028.2	Lymphocryptovirus	lymphocryptovirus 1	AY139028.2_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Lymphocryptovirus;unclassified Lymphocryptovirus;lymphocryptovirus 1	ADY05323	AY139028.2	ADY05323
